Term (EN),Translation (IT),Part of Speech,Description,Domain
Gibbering Mouther,Farfugliatore,noun,Monster,Monsters
"Gnome, 1st-Level Warrior","Gnomo, Guerriero di 1° Livello",noun,Monster,Monsters
Goblinoid,Goblinoide,adj,Creature subtype,Monsters
Golden Protector (Celestial Half-Dragon Lammasu),Protettore Dorato (Lammasu Celestiale Mezzo Drago),noun,Monster,Monsters
Gorgon,Gorgone,noun,Monster,Monsters
Gray Render,Render Grigio,noun,Monster,Monsters
Greater Barghest,Barghest Superiore,noun,Monster,Monsters
Greater Shadow,Ombra Superiore,noun,Monster,Monsters
Griffon,Grifone,noun,Monster,Monsters
Hag,Strega,noun,Monster,Monsters
"Halfling, 1st-Level Warrior","Halfling, Guerriero di 1° Livello",noun,Monster,Monsters
Harpy,Arpia,noun,Monster,Monsters
"Harpy Archer, 7th-Level Fighter","Arpia Arciera, Guerriero di 7° Livello",noun,Monster,Monsters
Hawk,Falco,noun,Monster,Monsters
Hellhound,Segugio Infernale,noun,Monster,Monsters
Hippogriff,Ippogrifo,noun,Monster,Monsters
"Hobgoblin, 1st-Level Warrior","Hobgoblin, Guerriero di 1° Livello",noun,Monster,Monsters
Howler,Ululatore,noun,Monster,Monsters
Humanoid,Umanoide,noun,Creature type,Monsters
Hyena,Iena,noun,Monster,Monsters
Immunity,Immunita,,Monster stat block term,Monsters
Incorporeal,Incorporeo,adj,Creature subtype,Monsters
Inevitable,Inevitabile,noun,Monster,Monsters
Invisible Stalker,Segugio Invisibile,noun,Monster,Monsters
Juvenile Arrowhawk,Arrowhawk Giovane,noun,Monster,Monsters
Juvenile Tojanida,Tojanida Giovane,noun,Monster,Monsters
"Kobold, 1st-Level Warrior","Coboldo, Guerriero di 1° Livello",noun,Monster,Monsters
Leopard,Leopardo,noun,Monster,Monsters
Lion,Leone,noun,Monster,Monsters
Lizard,Lucertola,noun,Monster,Monsters
"Lizard, Monitor","Lucertola, Varano",noun,Monster,Monsters
Lizardfolk,Uomini Lucertola,noun,Monster,Monsters
Magical Beast,Bestia Magica,noun,Creature type,Monsters
Manta Ray,Manta,noun,Monster,Monsters
Manticore,Manticora,noun,Monster,Monsters
Merfolk,Tritone,noun,Monster,Monsters
Minor Xorn,Xorn Minore,noun,Monster,Monsters
Minotaur,Minotauro,noun,Monster,Monsters
Monkey,Scimmia,noun,Monster,Monsters
"Monstrous Centipede, Medium","Centopiedi Mostruoso, Medio",noun,Monster,Monsters
"Monstrous Centipede, Small","Centopiedi Mostruoso, Piccolo",noun,Monster,Monsters
"Monstrous Centipede, Tiny","Centopiedi Mostruoso, Minuscolo",noun,Monster,Monsters
Monstrous Humanoid,Umanoide Mostruoso,noun,Creature type,Monsters
"Monstrous Scorpion, Medium","Scorpione Mostruoso, Medio",noun,Monster,Monsters
"Monstrous Scorpion, Small","Scorpione Mostruoso, Piccolo",noun,Monster,Monsters
"Monstrous Scorpion, Tiny","Scorpione Mostruoso, Minuscolo",noun,Monster,Monsters
"Monstrous Spider, Medium","Ragno Mostruoso, Medio",noun,Monster,Monsters
"Monstrous Spider, Small","Ragno Mostruoso, Piccolo",noun,Monster,Monsters
"Monstrous Spider, Tiny","Ragno Mostruoso, Minuscolo",noun,Monster,Monsters
Mule,Mulo,noun,Monster,Monsters
Mummy,Mummia,noun,Monster,Monsters
"Mummy Lord, 10th-Level Cleric","Signore delle Mummie, Chierico di 10° Livello",noun,Monster,Monsters
Native,Nativo,adj,Creature subtype,Monsters
Nessian Warhound,Segugio da Guerra di Nesso,noun,Monster,Monsters
Night Hag,Strega Notturna,noun,Monster,Monsters
"Nightmare, Cauchemar","Incubo, Cauchemar",noun,Monster,Monsters
Nightshade,Ombra Notturna,noun,Monster,Monsters
Noble Salamander,Salamandra Nobile,noun,Monster,Monsters
Nymph,Ninfa,noun,Monster,Monsters
Octopus,Piovra,noun,Monster,Monsters
"Octopus, Giant","Piovra, Gigante",noun,Monster,Monsters
Ogre Mage,Ogre Mago,noun,Monster,Monsters
"Ogre, 4th-Level Barbarian","Ogre, Barbaro di 4° Livello",noun,Monster,Monsters
Ooze,Melma,noun,Creature type,Monsters
Orc,Orco,noun,Monster,Monsters
Organization,Organizzazione,,Monster stat block term,Monsters
Outsider,Esterno,noun,Creature type,Monsters
Owl,Gufo,noun,Monster,Monsters
"Owl, Giant","Gufo, Gigante",noun,Monster,Monsters
Owlbear,Orsogufo,noun,Monster,Monsters
Pegasus,Pegaso,noun,Monster,Monsters
Phantom Fungus,Fungo Fantasma,noun,Monster,Monsters
Phase Spider,Ragno Fasico,noun,Monster,Monsters
Planetouched,Stirpe Planare,noun,Monster,Monsters
Plant,Pianta,noun,Creature type,Monsters
"Pony, War","Pony, da Guerra",noun,Monster,Monsters
Porpoise,Focena,noun,Monster,Monsters
Pseudodragon,Pseudodrago,noun,Monster,Monsters
Psionic,Psionico,adj,Creature subtype,Monsters
Purple Worm,Verme Purpureo,noun,Monster,Monsters
Rat,Ratto,noun,Monster,Monsters
Raven,Corvo,noun,Monster,Monsters
Regeneration,Rigenerazione,,Monster stat block term,Monsters
Reptilian,Rettile,adj,Creature subtype,Monsters
Rhinoceros,Rinoceronte,noun,Monster,Monsters
Rust Monster,Mostro della Ruggine,noun,Monster,Monsters
Satyr,Satiro,noun,Monster,Monsters
Sea Cat,Gatto Marino,noun,Monster,Monsters
Seven-Headed Hydra,Idra a Sette Teste,noun,Monster,Monsters
Shadow Mastiff,Mastino d'Ombra,noun,Monster,Monsters
Shambling Mound,Cumulo Strisciante,noun,Monster,Monsters
Shapechanger,Mutaforma,noun,Creature type,Monsters
"Shark, Huge","Squalo, Enorme",noun,Monster,Monsters
"Shark, Large","Squalo, Grande",noun,Monster,Monsters
"Shark, Medium","Squalo, Medio",noun,Monster,Monsters
Shield Guardian,Guardiano dello Scudo,noun,Monster,Monsters
Shocker Lizard,Lucertola Elettrica,noun,Monster,Monsters
Shrieker,Strillone,noun,Monster,Monsters
Six-Headed Hydra,Idra a Sei Teste,noun,Monster,Monsters
Skeleton,Scheletro,noun,Monster,Monsters
Snake,Serpente,noun,Monster,Monsters
Space/Reach,Spazio/Portata,,Monster stat block term,Monsters
Special Attacks,Attacchi Speciali,,Monster stat block term,Monsters
Special Qualities,Qualita Speciali,,Monster stat block term,Monsters
Spectre,Spettro,noun,Monster,Monsters
Speed,Velocita,,Monster stat block term,Monsters
Sphinx,Sfinge,noun,Monster,Monsters
Spider Eater,Mangiaragni,noun,Monster,Monsters
Sprite,Spiritello,noun,Monster,Monsters
Squid,Calamaro,noun,Monster,Monsters
"Squid, Giant","Calamaro, Gigante",noun,Monster,Monsters
"Svirfneblin, 1st-Level Warrior","Svirfneblin, Guerriero di 1° Livello",noun,Monster,Monsters
Swarm,Sciame,adj,Creature subtype,Monsters
Telepathy,Telepatia,,Monster stat block term,Monsters
Tiger,Tigre,noun,Monster,Monsters
Titan,Titano,noun,Monster,Monsters
Toad,Rospo,noun,Monster,Monsters
Treasure,Tesoro,,Monster stat block term,Monsters
Tremorsense,Percezione delle Vibrazioni,,Monster stat block term,Monsters
Triton,Tritone,noun,Monster,Monsters
Troglodyte,Troglodita,noun,Monster,Monsters
"Troll Hunter, 6th-Level Ranger","Troll Cacciatore, Ranger di 6° Livello",noun,Monster,Monsters
Turn Resistance,Resistenza allo Scacciare,,Monster stat block term,Monsters
Undead,Non Morto,noun,Creature type,Monsters
Unicorn,Unicorno,noun,Monster,Monsters
Vampire Spawn,Progenie Vampirica,noun,Monster,Monsters
Vermin,Parassita,noun,Creature type,Monsters
Violet Fungus,Fungo Violetto,noun,Monster,Monsters
Weasel,Donnola,noun,Monster,Monsters
"Werebear, Bear Form","Orso Mannaro, Forma d'Orso",noun,Monster,Monsters
"Werebear, Human Form","Orso Mannaro, Forma Umana",noun,Monster,Monsters
"Werebear, Hybrid Form","Orso Mannaro, Forma Ibrida",noun,Monster,Monsters
Whale,Balena,noun,Monster,Monsters
Will-O’-Wisp,Fuoco Fatuo,noun,Monster,Monsters
Winter Wolf,Lupo Invernale,noun,Monster,Monsters
Wolf,Lupo,noun,Monster,Monsters
Wolverine,Ghiottone,noun,Monster,Monsters
Wyvern,Viverna,noun,Monster,Monsters
Yeth Hound,Segugio Yeth,noun,Monster,Monsters
Zombie,Zombi,noun,Monster,Monsters
Absorb Weapon,Inglobare Arma,noun,Spell (Trasmutazione),Spells
Absorption,Assorbimento,noun,Spell (Abiurazione),Spells
Abyssal Army,Esercito Abissale,noun,Spell (Evocazione),Spells
Abyssal Frenzy,Frenesia Abissale,noun,Spell (Trasmutazione),Spells
"Abyssal Frenzy, Mass",Frenesia Abissale di Massa,noun,Spell (Trasmutazione),Spells
Abyssal Rift,Squarcio Abissale,noun,Spell (Evocazione),Spells
Accelerated Movement,Movimento Accelerato,noun,Spell (Trasmutazione),Spells
Accuracy,Precisione,noun,Spell (Trasmutazione),Spells
Acid Arrow,Freccia Acida di Melf,noun,Spell (Evocazione),Spells
Acid Fog,Nebbia Acida,noun,Spell (Evocazione),Spells
Acid Splash,Fiotto Acido,noun,Spell (Evocazione),Spells
Affliction,Afflizione,noun,Spell (Necromanzia),Spells
Aid,Aiuto,noun,Spell (Ammaliamento),Spells
Aiming at the Target,Mirare il Bersaglio,noun,Spell (Abiurazione),Spells
Air Walk,Camminare nell'Aria,noun,Spell (Trasmutazione),Spells
Alarm,Allarme,noun,Spell (Abiurazione),Spells
Align Weapon,Allineare Arma,noun,Spell (Trasmutazione),Spells
Alter Self,Alterare Se Stesso,noun,Spell (Trasmutazione),Spells
Amber Sarcophagus,Sarcofago d'Ambra,noun,Spell (Invocazione),Spells
Analyze Dweomer,Analizzatore Dweomer,noun,Spell (Divinazione),Spells
Analyze Portal,Analizzare Portale,noun,Spell (Divinazione),Spells
Analyze Touchstone,Analizzare Piattaforma,noun,Spell (Divinazione),Spells
Anarchic Storm,Tempesta Ancarchica,noun,Spell (Evocazione),Spells
Anarchic Water,Acqua Anarchica,noun,Spell (Trasmutazione),Spells
Anger of the Noonday Sun,Veemenza del Sole di Mezzogiorno,noun,Spell (Invocazione),Spells
Animal Growth,Crescita Animale,noun,Spell (Trasmutazione),Spells
Animal Messenger,Messaggero Animale,noun,Spell (Ammaliamento),Spells
Animal Shapes,Forme Animali,noun,Spell (Trasmutazione),Spells
Animal Trance,Trance Animale,noun,Spell (Ammaliamento),Spells
Animate Breath,Animare Soffio,noun,Spell (Trasmutazione),Spells
Animate City,Animare Città,noun,Spell (Trasmutazione),Spells
Animate Dead,Animare Morti,noun,Spell (Necromanzia),Spells
Animate Fire,Animare Fuoco,noun,Spell (Trasmutazione),Spells
Animate Objects,Animare Oggetti,noun,Spell (Trasmutazione),Spells
Animate Plants,Animare Vegetali,noun,Spell (Trasmutazione),Spells
Animate Rope,Animare Corde,noun,Spell (Trasmutazione),Spells
Animate Water,Animare Acqua,noun,Spell (Trasmutazione),Spells
Animate Wood,Animare Legno,noun,Spell (Trasmutazione),Spells
Anticipate Teleportation,Avvertire Teletrasporto,noun,Spell (Abiurazione),Spells
"Anticipate Teleportation, Greater",Avvertire Teletrasporto Superiore,noun,Spell (Abiurazione),Spells
Antidragon Aura,Aura Anti-Drago,noun,Spell (Abiurazione),Spells
Antilife Shell,Guscio Anti-Vita,noun,Spell (Abiurazione),Spells
Antimagic Field,Campo Anti-Magia,noun,Spell (Abiurazione),Spells
Antimagic Ray,Raggio Anti-Magia,noun,Spell (Abiurazione),Spells
Antipathy,Antipatia,noun,Spell (Ammaliamento),Spells
Antiplant Shell,Guscio Anti-Vegetali,noun,Spell (Abiurazione),Spells
Apparition,Apparizione,noun,Spell (Illusione),Spells
Arc of Lightning,Arco di Fulmini,noun,Spell (Evocazione),Spells
Arcane Eye,Occhio Arcano,noun,Spell (Divinazione),Spells
Arcane Lock,Serratura Arcana,noun,Spell (Abiurazione),Spells
Arcane Mark,Sigillo Arcano,noun,Spell (Universale),Spells
Arcane Sight,Vista Arcana,noun,Spell (Divinazione),Spells
"Arcane Sight, Greater",Vista Arcana Superiore,noun,Spell (Divinazione),Spells
Arms of Plenty,Braccia Abbondanti,noun,Spell (Trasmutazione),Spells
Arrow Mind,Freccia Mentale,noun,Spell (Divinazione),Spells
Arrow of Bone,Freccia d'Osso,noun,Spell (Necromanzia),Spells
Arrow Storm,Tempesta di Frecce,noun,Spell (Trasmutazione),Spells
Aspect of the Deity,Aspetto della Divinità,noun,Spell (Trasmutazione),Spells
"Aspect of the Deity, Greater",Aspetto della Divinità Superiore,noun,Spell (Trasmutazione),Spells
"Aspect of the Deity, Lesser",Aspetto della Divinità Inferiore,noun,Spell (Trasmutazione),Spells
Assay Resistance,Determinare Resistenza,noun,Spell (Divinazione),Spells
Astral Hospice,Rifugio Astrale,noun,Spell (Evocazione),Spells
Astral Projection,Proiezione Astrale,noun,Spell (Necromanzia),Spells
Atonement,Espiazione,noun,Spell (Abiurazione),Spells
Attune Form,Adattare Forma,noun,Spell (Trasmutazione),Spells
Augment Familiar,Aumentare Famiglio,noun,Spell (Trasmutazione),Spells
Augury,Presagio,noun,Spell (Divinazione),Spells
Aura of Evasion,Aura di Elusione,noun,Spell (Abiurazione),Spells
Aura of Terror,Aura di Terrore,noun,Spell (Necromanzia),Spells
Avascular Mass,Svuotamento di Sangue,noun,Spell (Necromanzia),Spells
Avoid Planar Effects,Evitare Effetti Planari,noun,Spell (Abiurazione),Spells
Awaken,Risveglio,noun,Spell (Trasmutazione),Spells
Awaken Undead,Risvegliare Non Morti,noun,Spell (Necromanzia),Spells
"Awaken, Mass",Risveglio di Massa,noun,Spell (Trasmutazione),Spells
Axiomatic Creature,Creatura Assiomatica,noun,Spell (Trasmutazione),Spells
Axiomatic Storm,Tempesta Assiomatica,noun,Spell (Evocazione),Spells
Axiomatic Water,Acqua Assiomatica,noun,Spell (Trasmutazione),Spells
Ayailla's Radiant Burst,Esplosione Radiosa di Ayailla,noun,Spell (Invocazione),Spells
Babau Slime,Bava del Babau,noun,Spell (Trasmutazione),Spells
Backbiter,Rivalsa,noun,Spell (Necromanzia),Spells
Balancing Lorecall,Sapienza di Equilibrio,noun,Spell (Divinazione),Spells
Baleful Polymorph,Metamorfosi Funesta,noun,Spell (Trasmutazione),Spells
Balor Nimbus,Aureola del Balor,noun,Spell (Trasmutazione),Spells
Bands of Steel,Bande d'Acciaio,noun,Spell (Evocazione),Spells
Bane,Anatema,noun,Spell (Ammaliamento),Spells
Bane Bow,Arco Anatema,noun,Spell (Invocazione),Spells
Banishment,Esilio,noun,Spell (Abiurazione),Spells
Barghest's Feast,Banchetto del Barghest,noun,Spell (Necromanzia),Spells
Barkskin,Pelle Coriacea,noun,Spell (Trasmutazione),Spells
Bastion of Good,Bastione del Bene,noun,Spell (Abiurazione),Spells
Bear’s Endurance,Resistenza dell'Orso,noun,Spell (Trasmutazione),Spells
"Bear’s Endurance, Mass",Resistenza dell'Orso di Mass,noun,Spell (Trasmutazione),Spells
Beast Claws,Artigli della Bestia,noun,Spell (Trasmutazione),Spells
Beastland Ferocity,Ferocia delle Terre Bestiali,noun,Spell (Ammaliamento),Spells
Beckoning Call,Richiamo Imperioso,noun,Spell (Ammaliamento),Spells
Befoul,Contaminare,noun,Spell (Trasmutazione),Spells
Beget Bogun,Creare Bogun,noun,Spell (Evocazione),Spells
Belker Claws,Artigli del Belker,noun,Spell (Trasmutazione),Spells
Bestow Curse,Scagliare Maledizione,noun,Spell (Trasmutazione),Spells
"Bestow Curse, Greater",Scagliare Maledizione Superiore,noun,Spell (Trasmutazione),Spells
Bestow Wound,Scagliare Ferita,noun,Spell (Trasmutazione),Spells
Binding,Legame,noun,Spell (Ammaliamento),Spells
Binding Winds,Vento della Costrizione,noun,Spell (Invocazione),Spells
Bite of the King,Morso del Re,noun,Spell (Necromanzia),Spells
Black Tentacles,Tentacoli Neri di Evard,noun,Spell (Evocazione),Spells
Blackfire,Fuoconero,noun,Spell (Necromanzia),Spells
Blade Barrier,Barriera di Lame,noun,Spell (Invocazione),Spells
Blade of Pain and Fear,Lama del Dolore e della Paura,noun,Spell (Invocazione),Spells
Blade Storm,Tempesta di Frecce,noun,Spell (Trasmutazione),Spells
Blades of Fire,Lama di Fuoco,noun,Spell (Evocazione),Spells
Blasphemy,Blasfemia,noun,Spell (Invocazione),Spells
Blast of Flame,Scoppio di Fiamme,noun,Spell (Evocazione),Spells
Blast of Force,Scoppio di Forza,noun,Spell (Evocazione),Spells
Bless,Benedizione,noun,Spell (Ammaliamento),Spells
Bless Water,Benedire l'Acqua,noun,Spell (Trasmutazione),Spells
Bless Weapon,Benedire un'Arma,noun,Spell (Trasmutazione),Spells
Blessed Aim,Mira Benedetta,noun,Spell (Divinazione),Spells
Blessed Sight,Vista Benedetta,noun,Spell (Divinazione),Spells
Blessing of Bahamut,Benedizione di Bahamut,noun,Spell (Abiurazione),Spells
Blight,Inaridire,noun,Spell (Necromanzia),Spells
Blinding Beauty,Bellezza Accecante,noun,Spell (Trasmutazione),Spells
Blinding Breath,Soffio Accecante,noun,Spell (Trasmutazione),Spells
Blinding Glory,Gloria Accecante,noun,Spell (Evocazione),Spells
Blindness/Deafness,Cecità/Sordità,noun,Spell (Trasmutazione),Spells
Blink,Intermittenza,noun,Spell (Trasmutazione),Spells
"Blink, Greater",Intermittenza Superiore,noun,Spell (Trasmutazione),Spells
"Blink, Improved",Intermittenza Migliorata,noun,Spell (Trasmutazione),Spells
Blistering Radiance,Fulgore Ardente,noun,Spell (Invocazione),Spells
Blood of the Martyr,Sangue del Martire,noun,Spell (Necromanzia),Spells
Bloodstar,Stella Insanguinata,noun,Spell (Evocazione),Spells
Blur,Sfocatura,noun,Spell (Illusione),Spells
Bodak's Glare,Sguardo del Bodak,noun,Spell (Necromanzia),Spells
Body of the Sun,Corpo del Sole,noun,Spell (Trasmutazione),Spells
Body Outside Body,Duplicato Corporeo,noun,Spell (Evocazione),Spells
Bolt of Glory,Fulmine di Gloria,noun,Spell (Invocazione),Spells
Bolts of Bedevilment,Fulmini Diabolici,noun,Spell (Ammaliamento),Spells
Bottle of Smoke,Bottiglia di Fumo,noun,Spell (Evocazione),Spells
Brain Spider,Ragno Mentale,noun,Spell (Divinazione),Spells
Brambles,Rovi,noun,Spell (Trasmutazione),Spells
Branch to Branch,Da Ramo a Ramo,noun,Spell (Trasmutazione),Spells
Break Enchantment,Spezzare Incantamento,noun,Spell (Abiurazione),Spells
Breath Flare,Soffio Soffuso,noun,Spell (Trasmutazione),Spells
Breath Weapon Admixture,Arma a Soffio Mescolata,noun,Spell (Trasmutazione),Spells
Breath Weapon Substitution,Arma a Soffio Sostitutiva,noun,Spell (Trasmutazione),Spells
Briar Web,Reticolo di Rovi,noun,Spell (Trasmutazione),Spells
Brilliant Aura,Aura Brillante,noun,Spell (Trasmutazione),Spells
Brilliant Blade,Lama Luminosa,noun,Spell (Trasmutazione),Spells
Brilliant Emanation,Emanazione Luminosa,noun,Spell (Invocazione),Spells
Bull’s Strength,Forza del Toro,noun,Spell (Trasmutazione),Spells
"Bull’s Strength, Mass",Forza del Toro di Massa,noun,Spell (Trasmutazione),Spells
Burning Blood,Sangue Bruciante,noun,Spell (Trasmutazione),Spells
Burning Hands,Mani Brucianti,noun,Spell (Trasmutazione),Spells
Cacophonic Shield,Scudo Cacofonico,noun,Spell (Invocazione),Spells
Call Faithful Servants,Richiamare Servitori Fedeli,noun,Spell (Evocazione),Spells
Call Forth the Beast,Richiamare la Bestia,noun,Spell (Ammaliamento),Spells
Call Kolyarut,Richiama Kolyarut,noun,Spell (Evocazione),Spells
Call Lightning,Invocare il Fulmine,noun,Spell (Invocazione),Spells
Call Lightning Storm,Invocare Tempesta di Fulmini,noun,Spell (Invocazione),Spells
Call Marut,Richiama Marut,noun,Spell (Evocazione),Spells
Call Mount,Richiamare Cavalcatura,noun,Spell (Evocazione),Spells
Call Zelekhut,Richiama Zelekhut,noun,Spell (Evocazione),Spells
Calm Animals,Calmare Animali,noun,Spell (Ammaliamento),Spells
Calm Emotions,Calmare Emozioni,noun,Spell (Ammaliamento),Spells
Camouflage,Mimetismo,noun,Spell (Trasmutazione),Spells
"Camouflage, Mass",Mimetismo di Massa,noun,Spell (Trasmutazione),Spells
Castigate,Castigare,noun,Spell (Invocazione),Spells
Cat’s Grace,Grazia del Gatto,noun,Spell (Trasmutazione),Spells
"Cat’s Grace, Mass",Grazia del Gatto di Massa,noun,Spell (Trasmutazione),Spells
Cause Fear,Incuti Paura,noun,Spell (Necromanzia),Spells
Celestial Aspect,Aspetto Celestiale,noun,Spell (Trasmutazione),Spells
Celestial Blood,Sangue Celestiale,noun,Spell (Abiurazione),Spells
Celestial Brilliance,Luminosità Celestiale,noun,Spell (Invocazione),Spells
Chaav's Laugh,Risata di Chaav,noun,Spell (Ammaliamento),Spells
Chain Lightning,Catena di Fulmini,noun,Spell (Invocazione),Spells
Chain of Eyes,Catena di Occhi,noun,Spell (Divinazione),Spells
Chain of Sorrow,Catena di Dolore,noun,Spell (Necromanzia),Spells
Changestaff,Trasforma Bastone,noun,Spell (Trasmutazione),Spells
Channel Celestial,Incanalare Celestiale,noun,Spell (Trasmutazione),Spells
Channel Greater Celestial,Incanalare Celestiale Superiore,noun,Spell (Trasmutazione),Spells
Chaos Hammer,Martello del Caos,noun,Spell (Invocazione),Spells
Charm Animal,Charme su Animali,noun,Spell (Ammaliamento),Spells
Charm Monster,Charme sui Mostri,noun,Spell (Ammaliamento),Spells
"Charm Monster, Mass",Charme sui Mostri di Massa,noun,Spell (Ammaliamento),Spells
Charm Person,Charme su Persone,noun,Spell (Ammaliamento),Spells
"Charm Person, Mass",Charme su Persone di Massa,noun,Spell (Ammaliamento),Spells
Cheat,Barare,noun,Spell (Trasmutazione),Spells
Chill Metal,Gelare il Metallo,noun,Spell (Trasmutazione),Spells
Chill of the Grave,Gelo della Tomba,noun,Spell (Necromanzia),Spells
Chill Touch,Tocco Gelido,noun,Spell (Necromanzia),Spells
Choose Destiny,Scegliere il Destino,noun,Spell (Divinazione),Spells
Circle of Death,Cerchio di Morte,noun,Spell (Necromanzia),Spells
City Lights,Luci della Città,noun,Spell (Invocazione),Spells
City Stride,Traslazione Cittadina,noun,Spell (Evocazione),Spells
City's Might,Potere della Città,noun,Spell (Trasmutazione),Spells
Clairaudience/Clairvoyance,Chiaroudienza/Chiaroveggenza,noun,Spell (Divinazione),Spells
Clenched Fist,Pugno Serrato di Bigby,noun,Spell (Invocazione),Spells
Cloak of Bravery,Mantello del Coraggio,noun,Spell (Abiurazione),Spells
"Cloak of Bravery, Greater",Mantello del Coraggio Superiore,noun,Spell (Abiurazione),Spells
Cloak of Chaos,Mantello del Caos,noun,Spell (Abiurazione),Spells
Cloak of Hate,Mantello dell'Odio,noun,Spell (Ammaliamento),Spells
Cloak of the Sea,Mantello del Mare,noun,Spell (Trasmutazione),Spells
Cloak Pool,Mascherare Pozza,noun,Spell (Illusione),Spells
Cloud Chariot,Carro di Nuvole,noun,Spell (Evocazione),Spells
Cloudburst,Scroscio di Pioggia,noun,Spell (Invocazione),Spells
Cloudkill,Nube Mortale,noun,Spell (Evocazione),Spells
Cloudwalkers,Camminare tra le Nubi,noun,Spell (Trasmutazione),Spells
Clutch of Orcus,Morsa di Orcus,noun,Spell (Necromanzia),Spells
Cobra's Breath,Soffio del Cobra,noun,Spell (Trasmutazione),Spells
Color Spray,Spruzzo Colorato,noun,Spell (Illusione),Spells
Cometfall,Cometa Cadente,noun,Spell (Evocazione),Spells
Command,Comando,noun,Spell (Ammaliamento),Spells
Command Plants,Comandare Vegetali,noun,Spell (Trasmutazione),Spells
Command Undead,Comandare Non Morti,noun,Spell (Necromanzia),Spells
"Command, Greater",Comando Superiore,noun,Spell (Ammaliamento),Spells
Commune,Comunione,noun,Spell (Divinazione),Spells
Commune with City,Comunione con la Città,noun,Spell (Divinazione),Spells
Commune with Greater Spirit,Comunione con uno Spirito Superiore,noun,Spell (Divinazione),Spells
Commune with Lesser Spirit,Comunione con uno Spirito Inferiore,noun,Spell (Divinazione),Spells
Commune with Nature,Comunione con la Natura,noun,Spell (Divinazione),Spells
Comprehend Languages,Comprensione dei Linguaggi,noun,Spell (Divinazione),Spells
Cone of Cold,Cono di Freddo,noun,Spell (Invocazione),Spells
Confusion,Confusione,noun,Spell (Ammaliamento),Spells
"Confusion, Lesser",Confusione Inferiore,noun,Spell (Ammaliamento),Spells
Consecrate,Consacrare,noun,Spell (Invocazione),Spells
Constricting Chains,Catene Stritolanti,noun,Spell (Invocazione),Spells
Consumptive Field,Campo Debilitante,noun,Spell (Necromanzia),Spells
"Consumptive Field, Greater",Campo Debilitante Superiore,noun,Spell (Necromanzia),Spells
Contact Other Plane,Contattare Altri Piani,noun,Spell (Divinazione),Spells
Contagion,Contagio,noun,Spell (Necromanzia),Spells
Contagious Touch,Tocco Contagioso,noun,Spell (Necromanzia),Spells
Contingency,Contingenza,noun,Spell (Invocazione),Spells
Contingent Energy Resistance,Resistenza all'Energia Contingente,noun,Spell (Abiurazione),Spells
Continual Flame,Fiamma Perenne,noun,Spell (Invocazione),Spells
Control Plants,Controllare Vegetali,noun,Spell (Trasmutazione),Spells
Control Undead,Controllare Non Morti,noun,Spell (Necromanzia),Spells
Control Water,Controllare Acqua,noun,Spell (Trasmutazione),Spells
Control Weather,Controllare Tempo Atmosferico,noun,Spell (Trasmutazione),Spells
Control Winds,Controllare Venti,noun,Spell (Trasmutazione),Spells
Convert Wand,Convertire Bacchetta,noun,Spell (Trasmutazione),Spells
Corporeal Instability,Instabilità Corporea,noun,Spell (Trasmutazione),Spells
Corpse Candle,Candela Spettrale,noun,Spell (Evocazione),Spells
Create Food and Water,Creare Cibo e Acqua,noun,Spell (Evocazione),Spells
Create Greater Undead,Creare Non Morti Superiori,noun,Spell (Necromanzia),Spells
Create Undead,Creare Non Morti,noun,Spell (Necromanzia),Spells
Create Water,Creare Acqua,noun,Spell (Evocazione),Spells
Creeping Cold,Freddo Strisciante,noun,Spell (Trasmutazione),Spells
"Creeping Cold, Greater",Freddo Strisciante Superiore,noun,Spell (Trasmutazione),Spells
Creeping Darkness,Oscurità Occultante,noun,Spell (Evocazione),Spells
Creeping Doom,Piaga Strisciante,noun,Spell (Evocazione),Spells
Critical Strike,Colpo Critico,noun,Spell (Divinazione),Spells
Crown of Brilliance,Corona di Lucentezza,noun,Spell (Invocazione),Spells
Crown of Flame,Corona di Fiamma,noun,Spell (Invocazione),Spells
Crown of Glory,Corona di Gloria,noun,Spell (Invocazione),Spells
Crumble,Sbriciolare,noun,Spell (Trasmutazione),Spells
Crushing Despair,Disperazione Opprimente,noun,Spell (Ammaliamento),Spells
Crushing Hand,Mano Stritolatrice di Bigby,noun,Spell (Invocazione),Spells
Cry of Ysgard,Urlo di Ysgard,noun,Spell (Evocazione),Spells
Cure Critical Wounds,Cura Ferite Critiche,noun,Spell (Evocazione),Spells
"Cure Critical Wounds, Mass",Cura Ferite Critiche di Massa,noun,Spell (Evocazione),Spells
Cure Light Wounds,Cura Ferite Leggere,noun,Spell (Evocazione),Spells
"Cure Light Wounds, Mass",Cura Ferite Leggere di Massa,noun,Spell (Evocazione),Spells
Cure Minor Wounds,Cura Ferite Minori,noun,Spell (Evocazione),Spells
Cure Moderate Wounds,Cura Ferite Moderate,noun,Spell (Evocazione),Spells
"Cure Moderate Wounds, Mass",Cura Ferite Moderate di Massa,noun,Spell (Evocazione),Spells
Cure Serious Wounds,Cura Ferite Gravi,noun,Spell (Evocazione),Spells
"Cure Serious Wounds, Mass",Cura Ferite Gravi di Massa,noun,Spell (Evocazione),Spells
Curse of Ill Fortune,Maledizione della Cattiva Sorte,noun,Spell (Trasmutazione),Spells
